,category,brand_name,name,price,rating,url,num_review
143,Face Brushes,COVER FX,Concealer Brush,$20.00,4.5517,http://www.sephora.com/concealer-brush-P376531,29
144,Face Brushes,Bobbi Brown,Face Brush,$46.00,4.5333,http://www.sephora.com/face-brush-P296208,15
145,Face Brushes,MAKE UP FOR EVER,134 Large Powder Fan Brush,$48.00,4.6667,http://www.sephora.com/134-large-powder-fan-brush-P382373,40
146,Face Brushes,MAKE UP FOR EVER,144 Precision Highlighter & Concealer Brush,$37.00,4.7143,http://www.sephora.com/144-precision-highlighter-brush-P382424,21
147,Face Brushes,MAKE UP FOR EVER,156 Large Flat Blush Brush,$37.00,4.4667,http://www.sephora.com/156-large-flat-blush-brush-P382438,15
148,Face Brushes,Dior,Professional Finish Fluid Foundation Brush - Light Coverage,$46.00,4.8462,http://www.sephora.com/professional-finish-fluid-foundation-brush-light-coverage-P386818,26
149,Face Brushes,MAKE UP FOR EVER,142 Flat Highlighter Brush,$37.00,5.0,http://www.sephora.com/142-flat-highlighter-brush-P382441,null
150,Face Brushes,KEVYN AUCOIN,The Large Fan Brush,$60.00,3.75,http://www.sephora.com/the-large-fan-brush-P393960,4
151,Face Brushes,SEPHORA COLLECTION,Classic Bronzer Brush #44,$14.00,3.7059,http://www.sephora.com/classic-bronzer-brush-44-P379536,102
152,Face Brushes,MAKE UP FOR EVER,122 Blending Brush,$48.00,4.7391,http://www.sephora.com/122-blending-brush-P382426,46
153,Face Brushes,SEPHORA COLLECTION,Precious Elements PRO Mini Airbrush #55.5,$24.00,4.0,http://www.sephora.com/precious-elements-pro-mini-airbrush-55-P400664,12
154,Face Brushes,surratt beauty,Artistique Cheek Brush,$115.00,4.5714,http://www.sephora.com/artistique-cheek-brush-P394815,7
155,Face Brushes,SEPHORA COLLECTION,PRO Airbrush Blender #78,$36.00,5.0,http://www.sephora.com/pro-airbrush-blender-78-P415309,2
156,Face Brushes,Hourglass,Retractable Kabuki Brush,$56.00,3.85,http://www.sephora.com/retractable-kabuki-brush-P376091,20
157,Face Brushes,SEPHORA COLLECTION,Hide and Sleek Skinny Lip Retractable Brush,$5.00,1.75,http://www.sephora.com/hide-sleek-skinny-foundation-retractable-brush-P393109,45
